RunID,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20260103-225744,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.00005,81920,0.004179,0.138,0.934,8,constant,true,32,1,simple,,,5,250000,512,12000
20260103-225953,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,4096,0.000062,163840,0.005264,0.221,0.944,5,constant,true,32,1,simple,,,5,2000000,1024,12000
20260103-231312,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000209,163840,0.009434,0.134,0.916,10,constant,false,64,1,simple,,,5,250000,256,12000
20260103-231511,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,4096,0.000238,81920,0.006603,0.103,0.937,3,constant,false,512,3,simple,,,5,2000000,1024,12000
20260103-232825,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000072,40960,0.001571,0.134,0.935,10,constant,true,64,2,simple,,,5,2000000,128,12000
20260103-233804,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,512,0.000214,10240,0.006622,0.209,0.934,4,linear,true,128,2,simple,,,5,1000000,64,12000
20260103-234527,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.000282,20480,0.005523,0.157,0.913,4,linear,true,32,3,simple,,,5,500000,512,12000
20260103-234713,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,1024,0.000071,81920,0.00135,0.24,0.917,4,constant,true,256,3,simple,,,5,2000000,128,12000
20260103-234835,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000268,40960,0.007285,0.254,0.948,5,linear,false,256,2,simple,,,5,2000000,2048,12000
20260104-000057,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,4096,0.000078,327680,0.004535,0.27,0.924,10,linear,true,128,1,simple,,,5,250000,256,12000
