RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id
20251123-014754,58.5789566,58.5789566,636.4104004,636.4104004,0.0177604616,0.6451017582,1.3878668977,1.353452802,8,3.9295180677,16323,14435.0582173494,2267.333252,2267.333252,20,10.7449799103,1988,1758.4899578795,1.028237104,0.5814139341,0.0,0.0,5848
20251123-015841,5.235752106,5.377957821,550.6408081,595.175354,0.0247099061,0.0188876832,1.3986947135,1.383175731,10.5,3.414056225,14286.33301,11743.3514094699,2267.333252,2267.333252,23,8.096385545,1735,1212.0381535904,1.23939085,0.6848362936,0.0,0.0,5849
20251123-020847,1.249706388,1.367556453,202.6998444,248.8567047,0.013440902,0.070979491,1.4175907955,1.414904118,5.699999809,2.4922764271,10554,10195.0812692683,2267.333252,2267.333252,1.666666627,1.012195122,1124,1124,0.990618527,0.6380969592,0.0,0.0,5850
20251123-021308,4.137004852,4.137004852,519.6694336,519.6694336,0.0185840625,0.2096956722,1.3904376346,1.348307252,5.75,2.4401606336,10402.33301,10191.1225172289,2267.333252,2267.333252,1.333333373,1.0000000036,1124,1114.3935738072,1.115403652,0.6571708045,0.0,0.0,5851
20251123-022158,1.397089362,1.498047709,210.332962,302.1870422,0.017797254,0.1094904443,1.4124543086,1.404747963,5.466666698,2.3642276351,10431.33301,10288.487757561,2267.333252,2267.333252,1.333333373,1.0121951263,1112,1112,1.032576203,0.6535803029,0.0,0.0,5852
20251123-022714,1.226162791,1.250293493,29.45754623,54.36628723,0.024950845,0.331251711,1.4187595992,1.417717099,5.099999905,2.7250000389,10281,10211.708495,2267.333252,2267.333252,13,2.5833333359,1112,1112,0.82613641,0.6033881195,0.0,0.0,5853
20251123-022819,94.35001373,94.35001373,871.2884521,871.2884521,0.0241213881,1.6278281608,1.3790954006,1.343011856,11.80000019,4.1578313256,10227.5,10184.727898012,2267.333252,2267.333252,9,1.396586346,1112,1112,1.380275011,0.6972468343,0.0,0.0,5854
20251123-024301,100.0000153,100.0000153,181.7078857,855.9470215,0.0344459489,0.0078526034,0.9740616328,0.685329735,9.800000191,3.0290160693,10256.5,10221.4889460843,2267.333252,2267.333252,2.5,1.4508032135,1112,1112,1.15510428,0.7141349517,0.0,0.0,5855
20251123-025729,1.995876193,2.017921925,485.1455078,505.561615,0.0126773111,0.231044973,1.4087064669,1.39954567,6.266666889,2.6108433741,10353.33301,10280.9477483133,2267.333252,2267.333252,1.666666627,1.0000000029,1112,1112,1.159213543,0.6777311822,0.0,0.0,5856
20251123-030604,1.277623773,1.313078403,570.9609375,648.7019043,0.0124281145,0.3238672637,1.4104551579,1.405318618,5.199999809,2.3558232827,10471.66699,10351.7208913253,2267.333252,2267.333252,1.333333373,1.0220883575,1113,1112.9939759036,1.107769012,0.675534271,0.0,0.0,5857
20251123-031702,1.546578288,1.546578288,113.0189438,113.0189438,0.0253821995,0.2221959535,1.4182787716,1.417990208,5.699999809,2.7033333062,10267.33301,10205.6,2267.333252,2267.333252,1.333333373,0.9916666716,1113,1113,0.91437757,0.6339147471,0.0,0.0,5858
20251123-031917,1.136685252,1.172727227,10.44065952,37.06415939,,,1.4189382492,1.418938279,3.299999952,2.1354166567,10291,10198.33337375,2267.333252,2267.333252,1,1,1113,1113,0.974629939,0.6057845169,0.0,0.0,5859
20251123-032004,1.148217559,1.25019598,6.092535019,37.80073166,,,1.4189382344,1.41893816,4.566666603,2.5374999791,10290.33301,10205.8332525,2267.333252,2267.333252,1,1,1113,1113,0.856577694,0.6538599467,0.0,0.0,5860
20251123-032052,1.159698606,1.238206625,49.17504883,53.90878677,0.01852414,0.086457722,1.4189452379,1.418986082,4.533333302,2.6604166926,10265.66699,10194.625,2267.333252,2267.333252,10.5,2.5,1113,1113,0.786310971,0.6113843992,0.0,0.0,5861
20251123-032155,1.450955391,1.450955391,51.02849197,51.02849197,0.0182189325,0.144330695,1.4165776373,1.412966371,5.766666889,2.7812500149,10189,10165.5,2267.333252,2267.333252,1.333333373,1.0000000075,1113,1113,0.821691871,0.637558408,0.0,0.0,5862
20251123-032256,1.140186906,1.245029211,80.003685,124.7073135,0.0174677718,0.4043530762,1.4165504395,1.415140271,3.599999905,2.1333333284,10188.66699,10174.3500485,2267.333252,2267.333252,1.666666627,1.0000000031,1114,1113.975,1.023580074,0.6553082212,0.0,0.0,5863
20251123-032521,2.969283342,2.969283342,69.52843475,69.52843475,0.02512752,0.1646424382,1.4195922165,1.414400339,3.900000095,2.6979166716,10142.33301,10138.29162625,2267.333252,2267.333252,1.333333373,1.0416666716,1114,1114,0.768317163,0.5286469235,0.0,0.0,5864
20251123-032640,1.526535034,1.534285665,468.6304016,648.1541138,0.012760426,0.1324063413,1.417563427,1.41549468,5.233333111,2.2303212809,10899.33301,10549.668709759,2267.333252,2267.333252,8.5,1.0742971926,1114,1114,1.08813417,0.6459204957,0.0,0.0,5865
20251123-033738,18.21613121,23.35745049,241.5979462,258.9511108,0.0340710662,0.8206072446,1.3705387959,1.336018801,12.60000038,3.3650406686,10135.5,10128.4146578049,2267.333252,2267.333252,9.5,1.4065040641,1114,1114,1.110639215,0.6538992714,0.0,0.0,5866
20251123-034211,2.346264362,2.346264362,54.2505722,54.2505722,0.0352735165,0.0659358855,1.4149494171,1.408954501,4.033333302,2.6687500031,10154,10146.60412625,2267.333252,2267.333252,1.333333373,1.0416666716,1115,1114.5625,0.791317523,0.5666230845,0.0,0.0,5867
20251123-034315,1.418697476,1.418697476,53.55182648,53.55182648,0.0177677095,0.1719110535,1.4169522823,1.413140535,2.366666555,1.9062499554,10208.66699,10182.6042475,2267.333252,2267.333252,9.5,2.1041666716,1115,1114.9375,0.727116764,0.5535039866,0.0,0.0,5868
20251123-034419,52.47895432,59.82858276,426.8662415,621.4663696,0.0169153583,0.4439273396,1.4087338892,1.383979082,6.5,2.8734939845,10242,10212.1304948193,2267.333252,2267.333252,2,1.1104417673,1115,1115,1.171261549,0.7011376156,0.0,0.0,5869
20251123-035450,1.297194362,1.297194362,66.58875275,66.58875275,0.0248661635,0.2470082645,1.4190821797,1.417070389,5.966666698,2.6791666746,10193.33301,10169.27087375,2267.333252,2267.333252,1,0.9583333359,1115,1115,0.847806811,0.6060687789,0.0,0.0,5870
20251123-035606,1.230873704,1.230873704,114.6072769,114.6072769,0.0351231713,0.3087119663,1.4192477943,1.418040633,7.400000095,2.826666683,10200,10181.083398,2267.333252,2267.333252,1.333333373,1.000000003,1115,1115,0.931309342,0.6909306198,0.0,0.0,5871
20251123-035815,1.129925609,1.180608273,10.46138954,36.98845291,,,1.4189382492,1.418938279,3.666666746,2.256249994,10322.33301,10232.4375,2267.333252,2267.333252,12.5,2.4791666716,1115,1115,0.88164115,0.6310689189,0.0,0.0,5872
20251123-035903,1.199808002,1.200383067,33.38461304,38.05003357,,,1.4189382641,1.418938279,4.233333111,2.0499999525,10314.33301,10228,2267.333252,2267.333252,10,2.1666666716,1116,1115.9375,0.806653857,0.5814150609,0.0,0.0,5873
20251123-035951,1.463034153,1.463034153,55.53790665,55.53790665,0.0256130367,0.1491659992,1.4195376039,1.419168472,4.733333111,2.4083332868,10184.33301,10178.2707525,2267.333252,2267.333252,1.5,1.0208333359,1116,1116,1.007937551,0.5671678557,0.0,0.0,5874
20251123-040056,15.32608986,19.52321815,288.55896,300.0004272,0.0273043988,0.1103063608,1.3706948495,1.30170083,6.25,2.3792682799,10323,10273.1259768293,2267.333252,2267.333252,2,1.081300814,1116,1116,1.059021473,0.6944367253,0.0,0.0,5875
20251123-040632,4.5088377,4.930151463,144.9816895,153.0505676,0.0180965806,0.0225092388,1.391081512,1.344500184,5.866666794,2.3383333445,10226.33301,10203.4749515,2267.333252,2267.333252,1.5,1.050000006,1116,1116,1.074130297,0.6681114927,0.0,0.0,5876
20251123-040931,10.2142868,10.2142868,127.2262039,127.2262039,0.0336886737,0.5599722222,1.4167287409,1.414637923,10.39999962,4.6691666485,10146.66699,10140.7833495,2267.333252,2267.333252,1.666666627,0.9333333314,1116,1116,1.056841493,0.6175877676,0.0,0.0,5877
20251123-041152,94.15001678,100.0000153,520.7489014,990.5518188,0.0134584282,0.162943695,1.3852524139,1.353828311,9.100000381,3.4668674656,10632.5,10502.903631988,2267.333252,2267.333252,7.5,1.4216867484,1116,1116,1.165456891,0.7128851514,0.0,0.0,5878
20251123-042835,3.445075989,3.692000151,254.0299988,258.1882324,0.0171859157,0.1911756285,1.4012578581,1.375831127,5.949999809,2.608130077,10318.5,10276.2073170732,2267.333252,2267.333252,1.666666627,1.016260166,1117,1116.987804878,1.071682811,0.6571192189,0.0,0.0,5879
20251123-043320,100.0000153,100.0000153,285.7850647,488.5943909,0.0357362179,0.1892407664,1.326328009,1.239130139,10.05000019,3.7461847541,10291.5,10243.9658673494,2267.333252,2267.333252,5.5,1.4236947815,1117,1117,1.225318193,0.7127095651,0.0,0.0,5880
20251123-044139,79.19334412,79.19334412,128.8001099,128.8001099,0.0256636111,0.4885749897,1.4070388316,1.390081644,7.349999905,3.1266666234,10231,10211.1666505,2267.333252,2267.333252,2,1.0666666687,1117,1117,0.990603805,0.6586871312,0.0,0.0,5881
20251123-044403,1.206346154,1.216988325,23.68406296,66.88703918,0.011942741,0.036529232,1.4185093491,1.416018724,4.866666794,2.6333333403,10326.33301,10256.3542475,2267.333252,2267.333252,1.666666627,1.0833333284,1117,1117,0.851023436,0.663017273,0.0,0.0,5882
20251123-044520,100.0000076,100.0000076,170.6592102,701.9533691,0.0343887787,0.0579416367,1.2880197505,1.227904916,8.100000381,3.2755020139,10267,10228.0481927711,2267.333252,2267.333252,12.5,1.4056224902,1117,1117,1.122909665,0.6676531948,0.0,0.0,5883
20251123-045712,1.369958758,1.369958758,60.68267441,60.68267441,0.0246174838,0.2349614968,1.4157993049,1.413671732,4.033333302,2.4104166479,10241.66699,10231.6667475,2267.333252,2267.333252,1,0.9583333359,1118,1117.9375,1.02473557,0.5996295289,0.0,0.0,5884
20251123-045823,2.079045057,2.079045057,565.0145264,565.0145264,0.0139379493,0.0498720823,1.402669401,1.364126325,6.066666603,2.2564256939,10915.66699,10586.1867820482,2267.333252,2267.333252,1.666666627,1.0321285179,1118,1118,1.043482423,0.6459713169,0.0,0.0,5885
20251123-050758,92.47693634,100.0000153,149.1191406,382.4712219,0.0353449431,0.0120856286,1.2257872646,1.108852506,7.699999809,2.6191056763,10275.5,10249,2267.333252,2267.333252,2,1.1788617896,1118,1118,1.145387292,0.7059841548,0.0,0.0,5886
20251123-051451,1.149999976,1.205576897,10.76714134,38.36587143,,,1.418938279,1.418938279,4,2.4979166836,10375.66699,10287.87512125,2267.333252,2267.333252,5.5,1.5625,1118,1118,0.968739569,0.6359088234,0.0,0.0,5887
20251123-051540,1.429746747,1.495238066,287.2967224,328.5261841,0.012622381,0.053853296,1.414023722,1.404220819,5.5,2.11991872,10862.33301,10493.8454653659,2267.333252,2267.333252,1.333333373,0.9674796775,1118,1118,0.853570938,0.6191593234,0.0,0.0,5888
20251123-052120,1.179657817,1.179657817,38.6775589,38.6775589,,,1.4189382641,1.418938279,2.666666746,2.0791666953,10380,10294.75,2267.333252,2267.333252,8.5,1.9583333359,1119,1118.9375,0.754328907,0.5958066621,0.0,0.0,5889
20251123-052209,18.18615723,18.87580872,1005.832703,1038.868652,0.012262633,0.0861304602,1.4078607236,1.376230955,7.849999905,2.647289163,10385.66699,10342.6245116265,2267.333252,2267.333252,2,1.1315261072,1119,1119,1.261793375,0.674525395,0.0,0.0,5890
20251123-053940,1.237816691,1.335902572,167.78479,239.7266693,0.01150751,1.272930145,1.4191256441,1.419286966,5.699999809,2.4678861528,10522.33301,10378.7357802439,2267.333252,2267.333252,13,1.2967479709,1119,1119,0.945717633,0.6411726039,0.0,0.0,5891
20251123-054351,1.190822124,1.24648428,473.0905151,551.4352417,0.0130794017,0.2221898337,1.4127496983,1.404253721,6.099999905,2.3413654602,10897.5,10568.9397590361,2267.333252,2267.333252,8.5,1.0963855451,1119,1119,0.993816733,0.6552838044,0.0,0.0,5892
20251123-055313,1.773684144,1.773684144,140.4268341,140.4268341,0.0170009115,0.050624611,1.40336048,1.38619864,7.800000191,2.6808333218,10361,10299.258301,2267.333252,2267.333252,1.333333373,1.0166666731,1119,1119,0.901356936,0.6395909548,0.0,0.0,5893
20251123-055609,2.214875937,2.218231916,127.4824295,131.7671204,0.0242508044,0.0732635701,1.4201992571,1.414245725,6.699999809,3.0774999737,10252.33301,10230.866699,2267.333252,2267.333252,13,1.6166666657,1119,1119,0.945530534,0.6577899366,0.0,0.0,5894
20251123-055836,87.36429596,93.55386353,232.8463593,264.1152649,0.0355701361,0.0870654145,1.4111841713,1.40560782,9.5,3.4731707529,10244,10229.3699265854,2267.333252,2267.333252,3.5,1.3211382119,1120,1120,1.240037918,0.6841720474,0.0,0.0,5895
20251123-060316,100.0000153,100.0000153,359.6258545,1985.500977,0.0240606558,0.0012505365,1.126104604,0.98460573,9.649999619,4.1548192846,10489.5,10390.8353374699,2267.333252,2267.333252,8,1.4066265057,1120,1120,1.141722202,0.7298827592,0.0,0.0,5896
20251123-063633,13.6407423,13.6407423,1116.246216,1116.246216,0.012888404,0.2566246962,1.4151915721,1.405553937,8.850000381,2.6897590329,10631.66699,10496.9718972892,2267.333252,2267.333252,14,1.1335341395,1120,1120,1.197141051,0.6796880124,0.0,0.0,5897
20251123-065520,1.130983233,1.204807639,292.8821411,306.0275879,0.011479901,0.661696851,1.4155773331,1.408875108,4.349999905,2.3162601575,10915,10535.2073407317,2267.333252,2267.333252,8.5,1.2642276432,1120,1120,1.0200212,0.6718259694,0.0,0.0,5898
20251123-070039,100.0000153,100.0000153,191.8439636,237.1858978,0.035093254,0.082254205,1.3450572636,1.215543628,7.150000095,3.6654471478,10327,10306.9227326829,2267.333252,2267.333252,8,1.3414634147,1120,1120,1.406031013,0.684239365,0.0,0.0,5899
20251123-070454,6.612987995,7.326057434,223.6029663,227.5314026,0.0252950907,0.0622047175,1.4238915066,1.409387589,8.600000381,2.8065041012,10324.5,10300.878025122,2267.333252,2267.333252,2,1.016260166,1121,1120.987804878,1.071562171,0.6727057731,0.0,0.0,5900
