RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id
20251227-062149,96.7833480835,100.0000152588,371.785369873,607.4574584961,0.0188867582,0.1326888166,1.3652195234,1.3304032087,79.75,64.7661643201,22890,22686.4608669051,3133.3332519531,3133.3332519531,0,0,927,927,17.3011436462,11.7560096735,0.0,0.0,8960
20251227-063204,100.0000152588,100.0000152588,74.6057662964,146.3043823242,0.0246321216,0.1338857874,1.3616200453,1.3284702301,76.6999969482,62.7963417798,22433,22376.8780964177,3133.3332519531,3133.3332519531,0,0,927,927,14.3013696671,10.3915069045,0.0,0.0,8961
20251227-063440,1.7190587521,1.7443127632,202.965133667,233.1538085938,0.0128267761,0.0808454851,1.4069529336,1.3997764587,68.4499969482,63.6060973377,22587,22481.9104897104,3133.3332519531,3133.3332519531,0,0,927,927,15.1549863815,10.3016172037,0.0,0.0,8962
20251227-063842,100.0000152588,100.0000152588,80.5529403687,222.9946899414,0.0347319279,0.0030721156,1.2833435041,1.2386844158,69.8499984741,64.9894307765,22461.5,22378.8537061738,3133.3332519531,3133.3332519531,0,0,927,927,14.999663353,10.7531840627,0.0,0.0,8963
20251227-064238,31.2756156921,36.6612968445,76.3480072021,78.8107223511,0.0365244664,0.2567748562,1.4102405012,1.3967596292,70.1999969482,64.4933330536,22424.333984375,22394.7166992187,3133.3332519531,3133.3332519531,0,0,927,927,14.8540620804,10.8129126072,0.0,0.0,8964
20251227-064410,1.2034615278,1.2533333302,36.1005821228,71.633895874,0.0122845331,0.1465407424,1.4209382236,1.4219377041,70.3333358765,64.4175001144,22560.666015625,22438.01640625,3133.3332519531,3133.3332519531,0,0,927,927,14.6432161331,9.9892660856,0.0,0.0,8965
20251227-064535,0.9987761974,1.0628159046,76.5318222046,91.5467834473,0.0171284471,0.092191942,1.4176247776,1.4148019552,67.25,64.0858333588,22719.666015625,22493.3666992188,3133.3332519531,3133.3332519531,0,0,927,927,14.8363485336,10.29193964,0.0,0.0,8966
20251227-064716,1.6160632372,1.7178403139,76.0735702515,90.7338256836,0.0121555123,0.0535802115,1.4128220022,1.4056441784,68.1500015259,62.8333333969,22519.333984375,22441.075,3133.3332519531,3133.3332519531,0.5,0.1166666687,927,927,14.1007213593,9.7715651989,0.0,0.0,8967
20251227-064910,92.48462677,100.0000076294,240.3176116943,289.9411010742,0.0352122543,0.3837971952,1.377296093,1.319807291,80.4000015259,64.6062248414,22972.333984375,22368.5964326054,3133.3332519531,3133.3332519531,0.5,0.0100401608,927,927,16.0194702148,10.7832338322,0.0,0.0,8968
20251227-065408,2.0534210205,2.1822402477,189.5291595459,213.4753265381,0.0248124925,0.0204648531,1.3978062577,1.3753117323,69.5666656494,64.448373655,22535.666015625,22422.4187785823,3133.3332519531,3133.3332519531,0,0,927,927,16.5501079559,10.934493344,0.0,0.0,8969
20251227-065749,100.0000076294,100.0000076294,221.2389221191,610.0823364258,0.0345668719,0.0212440951,1.2533640538,1.1718326807,71.0500030518,63.37238969,22411,22317.9528308547,3133.3332519531,3133.3332519531,0.3333333433,0.0020080322,927,927,18.1447811127,10.8721317326,0.0,0.0,8970
20251227-070807,17.2059726715,20.7909126282,623.8438110352,811.0914306641,0.0175116511,0.9160100358,1.4083280039,1.4012361765,69.3666687012,64.2143573761,22565.5,22442.8473738705,3133.3332519531,3133.3332519531,0.5,0.0080321286,928,927.0060240964,16.3466453552,11.1194725037,0.0,0.0,8971
20251227-072147,3.5903100967,3.5903100967,345.2838745117,345.2838745117,0.0128145091,0.3249460322,1.4189952641,1.4183256626,68.1500015259,63.5058234341,22585,22463.449783509,3133.3332519531,3133.3332519531,0.5,0.0100401608,927,927,14.409029007,10.4694786129,0.0,0.0,8972
20251227-072740,100.0000152588,100.0000152588,316.7561645508,401.3559875488,0.0181429579,0.0982240024,1.3405597842,1.2774451971,76.8333358765,63.7712853213,22687.5,22522.026143637,3133.3332519531,3133.3332519531,0.3333333433,0.0080321288,927,927,18.7877216339,11.2929802286,0.0,0.0,8973
20251227-073428,11.5478744507,11.5478744507,340.1601257324,340.1601257324,0.0184307139,0.2714219168,1.4178363286,1.4036637545,68.0500030518,64.1244976549,22631.666015625,22530.3192771084,3133.3332519531,3133.3332519531,0.3333333433,0.0080321288,927,927,14.5826368332,10.6129141026,0.0,0.0,8974
20251227-074016,95.6538619995,100.0000152588,103.7628631592,328.0223999023,0.0176863578,0.2872811047,1.3755367405,1.3550354242,70.9499969482,64.0337348846,22468.5,22390.4337349398,3133.3332519531,3133.3332519531,0,0,927,927,18.8101863861,11.6483465677,0.0,0.0,8975
20251227-074550,1.1762356758,1.240038991,3.7061216831,25.1155376434,,,1.4189382792,1.4189382792,67.0500030518,64.0145831108,22541.5,22406.8125,3133.3332519531,3133.3332519531,0,0,927,927,12.6787891388,11.0250321627,0.0,0.0,8976
20251227-074622,1.1936901808,1.2401559353,64.4752426147,76.4902801514,0.0121594844,0.3065784574,1.4187984645,1.4186861515,67.1666641235,62.7841667175,22464.666015625,22405.925,3133.3332519531,3133.3332519531,0.5,0.0750000015,927,927,14.6602115631,10.0950485945,0.0,0.0,8977
20251227-074755,1.2349513769,1.2349513769,32.3099479675,32.3099479675,0.0356114917,0.3158112615,1.4177910835,1.4158941507,67.25,63.5062508583,22345,22308.3540039062,3133.3332519531,3133.3332519531,0.3333333433,0.0833333358,927,927,13.5128316879,10.3342604041,0.0,0.0,8978
20251227-074834,1.3672130108,1.3674225807,332.1002807617,334.9786376953,0.0180431642,0.3615283271,1.408392415,1.4034780264,68.1999969482,64.3953814679,22630.5,22507.9539956702,3133.3332519531,3133.3332519531,0.3333333433,0.0080321288,927,927,16.6417560577,10.7721054985,0.0,0.0,8979
